tablet,time,grasped_time
blue,16/04/2016 19:07:44.03,39.93
blue,16/04/2016 19:07:48.17,2.13
blue,16/04/2016 19:08:05.04,2.88
blue,16/04/2016 19:08:18.17,6.14
blue,16/04/2016 19:08:45.03,26.85
blue,16/04/2016 19:09:11.25,25.11
blue,16/04/2016 19:09:23.00,7.89
blue,16/04/2016 19:09:30.07,7.07
blue,16/04/2016 19:09:48.08,14.86
blue,16/04/2016 19:09:52.07,3.92
blue,16/04/2016 19:10:13.12,21.05
blue,16/04/2016 19:10:26.24,13.06
blue,16/04/2016 19:10:40.21,8.11
blue,16/04/2016 19:10:46.03,5.82
blue,16/04/2016 19:11:00.02,13.94
blue,16/04/2016 19:11:02.20,2.11
blue,16/04/2016 19:11:34.10,30.09
blue,16/04/2016 19:11:42.11,8.01
blue,16/04/2016 19:12:04.09,21.04
blue,16/04/2016 19:12:09.08,4.89
blue,16/04/2016 19:12:40.13,29.05
blue,16/04/2016 19:12:59.23,18.17
blue,16/04/2016 19:13:07.18,4.18
blue,16/04/2016 19:13:57.02,49.0
blue,16/04/2016 19:14:03.29,4.25
blue,16/04/2016 19:14:09.19,3.1
blue,16/04/2016 19:14:21.18,8.15
blue,16/04/2016 19:14:42.18,20.1
blue,16/04/2016 19:14:53.24,4.96
blue,16/04/2016 19:14:57.11,2.04
blue,16/04/2016 19:15:01.13,2.02
blue,16/04/2016 19:15:03.15,2.0
blue,16/04/2016 19:15:07.10,2.91
blue,16/04/2016 19:15:56.10,48.97
blue,16/04/2016 19:16:04.24,7.09
blue,16/04/2016 19:16:56.19,30.11
blue,16/04/2016 19:17:01.08,4.08
blue,16/04/2016 19:17:13.00,11.86
blue,16/04/2016 19:17:36.25,10.09
blue,16/04/2016 19:17:59.27,20.21
blue,16/04/2016 19:18:35.07,34.06
blue,16/04/2016 19:18:43.15,7.1
blue,16/04/2016 19:18:57.22,13.19
blue,16/04/2016 19:19:32.26,15.07
blue,16/04/2016 19:20:12.16,35.13
blue,16/04/2016 19:20:17.13,3.89
blue,16/04/2016 19:20:32.05,3.99
blue,16/04/2016 19:20:38.18,6.05
blue,16/04/2016 19:22:39.24,108.2
blue,16/04/2016 19:23:02.05,5.89
blue,16/04/2016 19:23:11.21,9.13
blue,16/04/2016 19:23:30.08,7.86
blue,16/04/2016 19:23:41.04,7.9
blue,16/04/2016 19:24:14.08,30.89
blue,16/04/2016 19:24:22.05,7.97
blue,16/04/2016 19:24:31.13,4.04
blue,16/04/2016 19:25:34.13,62.03
blue,16/04/2016 19:25:39.07,3.02
blue,16/04/2016 19:26:32.14,50.92
blue,16/04/2016 19:27:16.19,36.0
